source_location_code,destination_location_code,travel_distance_in_km,travel_time_in_min
12854113,10208771,35.28,51
12854113,12854159,38.34,76
12854113,10208597,27.81,32
12854113,10364908,14.56,19
12854113,12769170,16.74,21
12854113,12770183,15.09,23
12854113,13068448,19.14,25
12854113,12854171,39.32,65
12854113,10208577,33.76,50
12854113,10208580,31.9,41
12854113,12854127,37.03,47
12854113,10208619,38.04,53
12854113,12769191,28.44,28
12854113,10208777,19.73,20
12854113,12788882,36.12,43
12854113,10212247,19.76,37
12854113,10208725,82.48,86
12854113,10214831,134.75,269
12854113,11952476,25.07,28
12854113,10213766,20.77,38
12854113,12854130,24.65,36
12854113,10208713,17.43,24
12854113,12341441,33.63,41
12854113,12757112,41.57,43
12854113,12339991,8.93,13
12854113,13032687,30.62,48
12854113,12628650,24.47,31
12854113,12475521,19.64,23
12854113,10953982,47.37,55
12854113,10208692,30.75,32
12854113,12475631,32.55,36
12854113,10208123,34.01,60
12854113,10208688,10.64,17
12854113,10208505,128.48,233
12854113,12588807,44.43,70
12854113,10208672,39.73,40
12854113,10208636,35.97,61
12854113,12854181,43.41,86
12854113,12854196,46.25,67
12854113,10208755,29.79,29
12854113,12420819,24.94,24
12854113,12880157,15.27,18
12854113,10222647,32.1,48
12854113,10366958,5.77,8
12854113,10208644,40.58,47
12854113,10367569,48.75,66
12854113,10208622,32.86,41
12854113,10208652,35.11,37
12854113,12406372,26.26,30
12854113,13065930,22.62,37
12854113,10208735,19.74,20
12854113,12434146,18.54,24
12854113,12506169,24.44,34
12854113,10208501,143.4,168
12854113,10208500,127.3,127
12854113,10208706,26.89,47
12854113,12147179,7.98,8
12854113,10208724,14.98,28
12854113,12655984,12.3,23
12854113,12174646,17.22,33
12854113,12532788,19.26,23
12854113,12341443,15.35,19
12854113,12628704,34.73,46
12854113,10208590,29.22,56
12854113,12740486,15.53,22
12854113,12854125,47.42,56
12854113,12542300,50.74,56
12854113,10208118,25.99,27
12854113,10208122,27.97,32
12854113,10208124,18.88,23
12854113,10208578,35.6,43
12854113,10208601,43.73,67
12854113,10208609,38.42,69
12854113,10208610,63.03,65
12854113,10208620,22.26,28
12854113,10208642,21.27,26
12854113,10208665,16.43,16
12854113,10208673,34.97,41
12854113,10208690,66.95,97
12854113,10208711,32.89,33
12854113,10208728,82.46,86
12854113,10208738,14.41,20
12854113,10208749,31.28,39
12854113,10208761,30.07,38
12854113,10208766,37.03,50
12854113,10208769,43.71,84
12854113,10311889,29.6,45
12854113,11539652,30.23,39
12854113,11601941,41.82,62
12854113,11784129,2.49,4
12854113,11837298,8.35,9
12854113,11839297,43.09,45
12854113,11990630,148.61,198
12854113,12352070,93.36,112
12854113,12420822,29.39,41
12854113,12627036,24.18,28
12854113,12680540,19.49,21
12854113,12793479,10.4,20
12854113,12854131,19.43,24
12854113,12996267,14.28,18
12854113,13016256,40.41,42
12854113,A123,11.71,20
12854149,12854113,22.5,32
12854149,12854149,0.0,0
12854149,12577977,15.09,19
12854149,10212334,118.67,197
12854149,12585577,94.52,138
12854149,10212204,42.49,74
12854149,12628669,61.07,74
12854149,13013290,32.85,37
12854149,12026582,16.41,20
12854149,12854197,12.76,18
12854149,10208582,5.35,8
12854149,11956776,12.46,21
12854149,10364446,9.64,14
12854149,10366955,15.35,25
12854149,12474916,19.31,24
12854149,10279711,36.02,63
12854149,10218045,21.32,39
12854149,12708761,39.62,44
12854149,12740556,37.37,53
12854149,11346601,30.58,35
12854149,12854173,17.39,17
12854149,12854172,37.14,46
12854149,10208607,6.49,10
12854149,12750741,10.43,17
12854149,10208589,11.17,19
12854149,12854198,13.9,17
12854149,12345850,18.1,23
12854149,10208702,21.42,40
12854149,10208717,17.21,25
12854149,10208605,82.4,130
12854149,12854117,8.53,11
12854149,13045617,18.19,27
12854149,12854192,13.8,14
12854149,12854098,7.31,13
12854149,12854108,9.7,18
12854149,12724371,6.92,9
12854149,10208768,7.89,9
12854149,13005196,9.58,17
12854149,12779571,34.08,63
12854149,12742843,15.89,22
12854149,10364896,33.1,33
12854149,10208681,59.33,69
12854149,10212202,68.86,125
12854149,12715142,88.43,96
12854149,12475665,56.4,91
12854149,10212373,136.93,167
12854149,12475666,136.05,199
12854149,12044475,29.72,48
12854149,12656560,24.93,33
12854149,10212258,29.56,30
12854149,12219936,44.51,70
12854149,12194109,41.02,46
12854149,10208675,25.77,27
12854149,12475523,24.44,47
12854149,10208670,5.08,5
12854149,10366979,15.37,21
12854149,12475628,6.45,7
12854149,12475623,8.69,10
12854149,10208698,5.41,5
12854149,10208575,8.42,12
12854149,12475360,12.1,12
12854149,10208659,2.43,2
12854149,10208596,5.98,6
12854149,10208595,4.27,5
12854149,10208686,10.24,12
12854149,10208776,12.39,21
12854149,12475516,8.01,8
12854149,12721000,10.23,17
12854149,10208593,2.12,4
12854149,10210421,14.37,22
12854149,12854133,15.57,26
12854149,12546176,16.69,22
12854149,12690815,13.45,19
12854149,12854140,75.09,128
12854149,10310757,90.03,120
12854149,11539696,20.58,23
12854149,10208639,15.98,22
12854149,10208731,18.85,36
12854149,12854166,18.33,35
12854149,10208764,17.67,18
12854149,10310590,15.17,19
12854149,12854147,12.29,13
12854149,12854121,17.11,18
12854149,12502170,13.32,17
12854149,12021664,15.54,20
12854149,12995436,14.41,16
12854149,10208661,14.62,15
12854149,10208602,4.8,6
12854149,12725145,0.41,0
12854149,12854195,6.14,8
12854149,10219625,11.2,11
12854149,12983715,13.61,22
12854149,12171479,19.31,21
12854149,10208746,14.82,15
12854149,12838671,85.99,88
12854149,10208762,56.75,64
12854149,12738762,73.09,74
12854149,10214844,56.43,102
12854149,12860572,7.58,13
12854149,12854164,16.27,21
12854149,10208747,16.1,32
12854149,11950159,10.26,14
12854149,11957296,9.14,14
12854149,10208712,6.07,7
12854149,10208117,10.29,14
12854149,10208119,5.85,9
12854149,10364922,7.86,8
12854149,10208696,13.44,20
12854149,10208629,16.53,28
12854149,10208707,14.86,27
12854149,10208701,13.51,14
12854149,10208760,4.97,5
12854149,10208641,2.96,5
12854149,10208694,29.4,36
12854149,10208499,131.36,131
12854149,13067405,35.08,36
12854149,13067657,38.92,54
12854149,12171444,14.04,16
12854149,12489344,34.57,59
12854149,10208651,18.71,36
12854149,13015040,15.92,28
12854149,12420540,9.29,17
12854149,12854153,10.15,12
12854149,10208614,15.78,30
12854149,10208730,24.08,30
12854149,10208719,16.42,19
12854149,11646201,9.86,17
12854149,12854139,15.5,17
12854149,12510558,30.65,61
12854149,12231175,22.56,24
12854149,12814117,24.42,38
12854149,12666962,33.9,46
12854149,10208705,30.11,32
12854149,10396151,41.9,44
12854149,12814084,35.85,47
12854149,10208687,58.92,59
12854149,10393503,28.24,54
12854149,12854148,53.66,64
12854149,10214832,160.84,196
12854149,10208647,24.43,25
12854149,10208734,26.02,26
12854149,12854184,19.4,29
12854149,12854138,15.91,24
12854149,10208697,10.95,13
12854149,10208703,14.28,16
12854149,12548942,0.47,0
12854149,13028069,0.73,1
12854149,12679735,17.08,22
12854149,12016186,8.05,8
12854149,12854126,4.92,7
12854149,12854154,10.21,12
12854149,10208759,5.66,6
12854149,11770353,17.31,17
12854149,12769185,16.18,19
12854149,12854137,20.15,31
12854149,12862432,11.2,12
12854149,10208120,11.75,19
12854149,10208772,10.63,12
12854149,10364885,14.1,15
12854149,10364928,10.23,20
12854149,10208751,13.43,22
12854149,10208645,20.61,22
12854149,10364904,16.42,24
12854149,10208129,15.16,16
12854149,12487426,7.47,14
12854149,12628674,11.28,11
12854149,12341445,17.82,21
12854149,13067128,9.82,14
12854149,12983542,11.1,14
12854149,10208654,6.89,11
12854149,12542118,17.14,30
12854149,10364926,20.41,20
12854149,10208752,20.33,23
12854149,10364920,18.69,33
12854149,10208656,21.31,37
12854149,10208771,15.02,17
12854149,12854159,17.53,21
12854149,10208597,7.93,12
12854149,10364908,10.62,14
12854149,12769170,7.25,7
12854149,12770183,7.75,9
12854149,13068448,8.02,12
12854149,12854171,20.67,40
12854149,10208577,13.95,23
12854149,10208580,10.41,17
12854149,12854127,12.82,16
12854149,10208619,21.57,36
12854149,12769191,8.94,9
12854149,10208777,5.9,8
12854149,12788882,16.24,18
12854149,10212247,29.19,56
12854149,10208725,98.64,128
12854149,10214831,144.82,217
12854149,11952476,1.27,1
12854149,10213766,1.06,1
12854149,12854130,2.12,2
12854149,10208713,7.77,9
12854149,12341441,34.34,54
12854149,12757112,36.55,59
12854149,12339991,21.07,28
12854149,13032687,14.95,15
12854149,12628650,8.63,9
12854149,12475521,11.17,11
12854149,10953982,39.8,40
12854149,10208692,30.69,42
12854149,12475631,30.31,58
12854149,10208123,28.49,29
12854149,10208688,40.05,40
12854149,10208505,144.24,169
12854149,12588807,18.89,24
12854149,10208672,17.73,32
12854149,10208636,15.11,24
12854149,12854181,17.73,20
12854149,12854196,23.13,44
12854149,10208755,10.63,19
12854149,12420819,10.73,11
12854149,12880157,24.32,25
12854149,10222647,29.71,45
12854149,10366958,24.65,30
12854149,10208644,19.04,21
12854149,10367569,22.47,25
12854149,10208622,20.63,31
12854149,10208652,18.17,25
12854149,12406372,3.09,4
12854149,13065930,2.2,2
12854149,10208735,7.64,11
12854149,12434146,3.68,5
12854149,12506169,48.32,52
12854149,10208501,163.98,307
12854149,10208500,126.17,184
12854149,10208706,36.22,41
12854149,12147179,13.41,25
12854149,10208724,10.58,15
12854149,12655984,16.5,22
12854149,12174646,26.89,31
12854149,12532788,35.99,61
12854149,12341443,12.66,22
12854149,12628704,17.86,18
12854149,10208590,10.91,13
12854149,12740486,22.84,32
12854149,12854125,21.87,42
12854149,12542300,27.43,40
12854149,10208118,4.85,7
12854149,10208122,6.76,9
12854149,10208124,8.43,9
12854149,10208578,13.13,16
12854149,10208601,18.73,19
12854149,10208609,11.0,16
12854149,10208610,45.39,80
12854149,10208620,8.17,11
12854149,10208642,0.74,0
12854149,10208665,13.61,24
12854149,10208673,12.83,15
12854149,10208690,70.54,79
12854149,10208711,10.07,13
12854149,10208728,74.81,128
12854149,10208738,9.7,15
12854149,10208749,11.29,15
12854149,10208761,9.28,9
12854149,10208766,17.75,21
12854149,10208769,20.08,20
12854149,10311889,10.88,19
12854149,11539652,6.72,8
12854149,11601941,44.26,68
12854149,11784129,22.91,45
12854149,11837298,29.14,41
12854149,11839297,33.33,66
12854149,11990630,126.71,223
12854149,12352070,143.29,277
12854149,12420822,10.24,18
12854149,12627036,0.16,0
12854149,12680540,14.26,22
12854149,12793479,30.13,41
12854149,12854131,7.96,9
12854149,12996267,11.8,13
12854149,13016256,20.2,35
12854149,A123,32.54,39
12577977,12854113,13.33,24
12577977,12854149,12.16,23
12577977,12577977,0.0,0
12577977,10212334,95.05,98
12577977,12585577,90.16,180
12577977,10212204,33.43,35
12577977,12628669,67.56,73
12577977,13013290,35.57,36
12577977,12026582,13.06,18
12577977,12854197,25.47,47
12577977,10208582,18.6,26
12577977,11956776,26.95,29
12577977,10364446,10.64,12
12577977,10366955,28.87,31
12577977,12474916,33.78,36
12577977,10279711,51.92,74
12577977,10218045,10.3,12
12577977,12708761,23.98,35
12577977,12740556,25.37,29
12577977,11346601,23.76,29
12577977,12854173,19.32,20
12577977,12854172,33.92,65
12577977,10208607,6.85,10
12577977,12750741,27.92,47
12577977,10208589,22.46,44
12577977,12854198,23.92,47
12577977,12345850,25.09,28
12577977,10208702,27.84,32
12577977,10208717,27.93,39
12577977,10208605,76.14,81
12577977,12854117,6.77,7
12577977,13045617,24.59,46
12577977,12854192,14.75,16
12577977,12854098,6.68,11
12577977,12854108,7.46,7
12577977,12724371,15.97,25
12577977,10208768,17.78,22
12577977,13005196,8.28,12
12577977,12779571,20.17,22
12577977,12742843,5.27,5
12577977,10364896,21.41,32
12577977,10208681,46.39,47
12577977,10212202,52.79,55
12577977,12715142,98.48,134
12577977,12475665,52.15,65
12577977,10212373,120.41,164
12577977,12475666,152.77,203
12577977,12044475,13.34,14
12577977,12656560,29.67,37
12577977,10212258,34.26,45
12577977,12219936,48.36,82
12577977,12194109,47.07,70
12577977,10208675,12.63,17
12577977,12475523,8.2,11
12577977,10208670,11.59,12
12577977,10366979,6.49,9
12577977,12475628,12.3,13
12577977,12475623,6.86,7
12577977,10208698,13.22,17
12577977,10208575,21.96,22
12577977,12475360,22.92,24
12577977,10208659,16.84,24
12577977,10208596,21.7,25
12577977,10208595,18.31,31
12577977,10208686,23.59,30
12577977,10208776,2.52,3
12577977,12475516,6.5,10
12577977,12721000,8.61,9
12577977,10208593,15.6,24
12577977,10210421,13.89,16
12577977,12854133,29.0,51
12577977,12546176,13.99,22
12577977,12690815,8.19,9
12577977,12854140,101.01,155
12577977,10310757,90.28,135
12577977,11539696,22.48,35
12577977,10208639,23.41,33
12577977,10208731,32.27,34
12577977,12854166,31.74,61
12577977,10208764,29.26,45
12577977,10310590,25.47,43
12577977,12854147,23.14,43
12577977,12854121,24.96,45
12577977,12502170,23.54,23
12577977,12021664,31.94,40
12577977,12995436,26.58,44
12577977,10208661,28.0,31
12577977,10208602,15.82,17
12577977,12725145,15.81,22
12577977,12854195,18.06,27
12577977,10219625,15.58,16
12577977,12983715,30.38,49
12577977,12171479,33.77,65
12577977,10208746,12.96,17
12577977,12838671,96.14,147
12577977,10208762,51.87,69
12577977,12738762,75.18,102
12577977,10214844,50.48,54
12577977,12860572,17.64,27
12577977,12854164,24.96,27
12577977,10208747,23.85,31
12577977,11950159,9.07,9
12577977,11957296,25.17,41
12577977,10208712,8.05,10
12577977,10208117,6.0,12
12577977,10208119,17.39,18
12577977,10364922,22.11,22
12577977,10208696,22.46,23
12577977,10208629,34.43,36
12577977,10208707,31.78,56
12577977,10208701,22.47,23
12577977,10208760,15.13,16
12577977,10208641,15.58,21
12577977,10208694,14.31,18
12577977,10208499,141.41,148
12577977,13067405,51.55,103
12577977,13067657,50.72,74
12577977,12171444,3.52,4
12577977,12489344,40.67,65
12577977,10208651,18.48,25
12577977,13015040,27.82,30
12577977,12420540,19.06,33
12577977,12854153,27.48,39
12577977,10208614,27.46,37
12577977,10208730,33.99,61
12577977,10208719,14.99,29
12577977,11646201,9.49,15
12577977,12854139,29.63,38
12577977,12510558,23.79,41
12577977,12231175,22.43,29
12577977,12814117,19.22,31
12577977,12666962,28.68,31
12577977,10208705,24.51,28
12577977,10396151,35.96,41
12577977,12814084,41.48,45
12577977,10208687,53.32,57
12577977,10393503,17.85,24
12577977,12854148,54.95,67
12577977,10214832,165.61,331
12577977,10208647,14.24,19
12577977,10208734,16.45,22
12577977,12854184,10.91,12
12577977,12854138,2.86,3
12577977,10208697,7.48,10
12577977,10208703,20.85,27
12577977,12548942,15.1,30
12577977,13028069,12.59,19
12577977,12679735,18.5,18
12577977,12016186,9.28,10
12577977,12854126,13.7,15
12577977,12854154,9.01,9
12577977,10208759,12.68,22
12577977,11770353,16.62,21
12577977,12769185,30.92,53
12577977,12854137,26.72,37
12577977,12862432,27.15,34
12577977,10208120,19.82,37
12577977,10208772,15.91,31
12577977,10364885,18.38,36
12577977,10364928,18.16,23
12577977,10208751,22.5,38
12577977,10208645,33.27,35
12577977,10364904,29.57,49
12577977,10208129,10.02,13
12577977,12487426,11.19,13
12577977,12628674,21.94,29
12577977,12341445,31.6,43
12577977,13067128,27.82,43
12577977,12983542,2.58,2
12577977,10208654,15.09,15
12577977,12542118,27.84,49
12577977,10364926,34.01,56
12577977,10208752,29.6,29
12577977,10364920,38.31,52
12577977,10208656,38.02,61
12577977,10208771,25.72,39
12577977,12854159,28.75,55
12577977,10208597,18.88,33
12577977,10364908,6.61,8
12577977,12769170,8.23,12
12577977,12770183,7.22,7
12577977,13068448,8.92,11
12577977,12854171,35.97,45
12577977,10208577,29.41,30
12577977,10208580,27.66,44
12577977,12854127,24.79,38
12577977,10208619,36.38,39
12577977,12769191,25.0,29
12577977,10208777,8.23,8
12577977,12788882,32.91,35
12577977,10212247,27.8,35
12577977,10208725,94.38,101
12577977,10214831,143.31,179
12577977,11952476,13.24,13
12577977,10213766,15.4,28
12577977,12854130,15.21,20
12577977,10208713,6.4,6
12577977,12341441,39.81,47
12577977,12757112,45.64,57
12577977,12339991,6.59,11
12577977,13032687,25.1,25
12577977,12628650,16.93,29
12577977,12475521,14.94,28
12577977,10953982,49.35,61
12577977,10208692,35.87,39
12577977,12475631,29.73,55
12577977,10208123,40.64,53
12577977,10208688,25.54,46
12577977,10208505,128.23,153
12577977,12588807,40.33,73
12577977,10208672,30.55,33
12577977,10208636,33.23,37
12577977,12854181,31.92,32
12577977,12854196,39.04,66
12577977,10208755,22.91,44
12577977,12420819,15.9,15
12577977,12880157,6.07,10
12577977,10222647,34.26,34
12577977,10366958,10.39,16
12577977,10208644,30.56,44
12577977,10367569,39.83,50
12577977,10208622,29.25,51
12577977,10208652,26.2,27
12577977,12406372,17.9,33
12577977,13065930,13.36,25
12577977,10208735,13.81,14
12577977,12434146,15.32,27
12577977,12506169,28.99,40
12577977,10208501,130.76,174
12577977,10208500,144.32,288
12577977,10208706,34.19,50
12577977,12147179,10.26,13
12577977,10208724,4.07,6
12577977,12655984,3.19,5
12577977,12174646,10.62,14
12577977,12532788,21.69,22
12577977,12341443,16.76,23
12577977,12628704,30.71,32
12577977,10208590,25.46,28
12577977,12740486,6.8,6
12577977,12854125,27.45,28
12577977,12542300,35.87,71
12577977,10208118,16.78,18
12577977,10208122,20.89,23
12577977,10208124,6.39,12
12577977,10208578,30.21,30
12577977,10208601,33.67,39
12577977,10208609,22.54,43
12577977,10208610,55.84,77
12577977,10208620,6.12,12
12577977,10208642,13.82,15
12577977,10208665,3.92,7
12577977,10208673,29.56,59
12577977,10208690,83.45,116
12577977,10208711,21.83,22
12577977,10208728,89.76,119
12577977,10208738,5.7,7
12577977,10208749,26.69,43
12577977,10208761,20.9,29
12577977,10208766,33.65,42
12577977,10208769,31.93,59
12577977,10311889,20.6,20
12577977,11539652,12.03,21
12577977,11601941,43.04,45
12577977,11784129,14.49,17
12577977,11837298,23.49,24
12577977,11839297,43.53,62
12577977,11990630,136.18,204
12577977,12352070,110.24,157
12577977,12420822,11.51,12
12577977,12627036,13.09,19
12577977,12680540,2.69,2
12577977,12793479,21.7,29
12577977,12854131,7.36,10
12577977,12996267,2.23,3
12577977,13016256,31.79,51
12577977,A123,24.45,34
10212334,12854113,106.79,106
10212334,12854149,114.62,127
10212334,12577977,106.54,106
10212334,10212334,0.0,0
10212334,12585577,17.5,35
10212334,10212204,93.12,116
10212334,12628669,60.06,92
10212334,13013290,67.49,84
10212334,12026582,83.74,132
10212334,12854197,82.08,91
10212334,10208582,114.32,114
10212334,11956776,112.79,150
10212334,10364446,97.0,102
10212334,10366955,88.59,151
10212334,12474916,99.31,198
10212334,10279711,69.63,119
10212334,10218045,97.58,117
10212334,12708761,105.05,106
10212334,12740556,103.27,114
10212334,11346601,96.4,109
10212334,12854173,82.52,91
10212334,12854172,60.05,109
10212334,10208607,111.2,196
10212334,12750741,96.67,128
10212334,10208589,106.31,177
10212334,12854198,99.49,124
10212334,12345850,79.37,144
10212334,10208702,87.16,87
10212334,10208717,93.96,117
10212334,10208605,57.11,69
10212334,12854117,105.55,154
10212334,13045617,88.44,98
10212334,12854192,93.36,133
10212334,12854098,103.01,206
10212334,12854108,115.86,128
10212334,12724371,116.18,199
10212334,10208768,83.96,93
10212334,13005196,114.57,190
10212334,12779571,108.76,151
10212334,12742843,97.39,124
10212334,10364896,83.62,106
10212334,10208681,75.45,96
10212334,10212202,54.54,93
10212334,12715142,52.94,79
10212334,12475665,60.6,103
10212334,10212373,53.31,62
10212334,12475666,57.32,67
10212334,12044475,118.35,229
10212334,12656560,82.66,127
10212334,10212258,89.11,144
10212334,12219936,64.49,124
10212334,12194109,68.01,71
10212334,10208675,118.6,136
10212334,12475523,103.93,138
10212334,10208670,121.38,148
10212334,10366979,109.41,121
10212334,12475628,104.83,179
10212334,12475623,94.56,149
10212334,10208698,99.25,165
10212334,10208575,102.1,120
10212334,12475360,100.28,171
10212334,10208659,107.02,178
10212334,10208596,100.8,137
10212334,10208595,91.23,127
10212334,10208686,98.29,131
10212334,10208776,96.37,118
10212334,12475516,112.9,161
10212334,12721000,106.86,116
10212334,10208593,110.9,221
10212334,10210421,83.29,111
10212334,12854133,102.37,120
10212334,12546176,106.03,127
10212334,12690815,88.53,91
10212334,12854140,20.97,23
10212334,10310757,27.51,30
10212334,11539696,97.05,121
10212334,10208639,98.75,144
10212334,10208731,94.56,101
10212334,12854166,77.56,96
10212334,10208764,77.16,112
10212334,10310590,94.12,188
10212334,12854147,95.51,179
10212334,12854121,87.66,107
10212334,12502170,100.02,136
10212334,12021664,94.39,125
10212334,12995436,97.05,121
10212334,10208661,102.0,174
10212334,10208602,100.93,112
10212334,12725145,115.33,182
10212334,12854195,113.35,194
10212334,10219625,106.86,173
10212334,12983715,105.12,143
10212334,12171479,90.51,135
10212334,10208746,98.07,98
10212334,12838671,11.93,18
10212334,10208762,50.57,72
10212334,12738762,60.1,120
10212334,10214844,66.65,95
10212334,12860572,98.38,155
10212334,12854164,93.27,186
10212334,10208747,76.54,77
10212334,11950159,105.13,165
10212334,11957296,117.87,133
10212334,10208712,113.68,170
10212334,10208117,98.04,106
10212334,10208119,104.7,110
10212334,10364922,84.38,129
10212334,10208696,104.26,118
10212334,10208629,101.03,147
10212334,10208707,104.86,116
10212334,10208701,101.56,110
10212334,10208760,91.09,182
10212334,10208641,99.54,114
10212334,10208694,91.22,101
10212334,10208499,43.31,57
10212334,13067405,72.88,128
10212334,13067657,68.79,84
10212334,12171444,115.78,133
10212334,12489344,59.96,78
10212334,10208651,86.84,88
10212334,13015040,74.93,109
10212334,12420540,107.7,157
10212334,12854153,105.13,161
10212334,10208614,107.24,116
10212334,10208730,107.77,122
10212334,10208719,134.57,146
10212334,11646201,118.73,192
10212334,12854139,136.75,227
10212334,12510558,129.39,235
10212334,12231175,118.96,132
10212334,12814117,115.23,209
10212334,12666962,148.74,223
10212334,10208705,129.45,209
10212334,10396151,162.28,314
10212334,12814084,125.85,164
10212334,10208687,181.57,217
10212334,10393503,117.37,119
10212334,12854148,62.23,71
10212334,10214832,62.84,66
10212334,10208647,101.46,138
10212334,10208734,100.78,131
10212334,12854184,116.03,151
10212334,12854138,91.43,161
10212334,10208697,102.0,111
10212334,10208703,81.19,135
10212334,12548942,105.81,113
10212334,13028069,93.69,117
10212334,12679735,133.89,267
10212334,12016186,98.37,140
10212334,12854126,104.8,110
10212334,12854154,114.35,175
10212334,10208759,109.12,155
10212334,11770353,112.23,149
10212334,12769185,106.15,135
10212334,12854137,87.03,116
10212334,12862432,101.42,196
10212334,10208120,78.85,102
10212334,10208772,107.37,121
10212334,10364885,99.88,193
10212334,10364928,87.19,174
10212334,10208751,89.8,105
10212334,10208645,73.46,100
10212334,10364904,80.74,124
10212334,10208129,101.95,113
